ids,given_info,question,ground truth,answer,match
682,"The overall probability of having a sister is 41%. For patients who do not have a sister, the probability of recovery is 68%. For patients who have a sister, the probability of recovery is 36%.",Is recovery more likely than non-recovery overall?,yes,no,FALSE
593,"For patients not consuming citrus, the probability of being lactose intolerant is 45%. For patients consuming citrus, the probability of being lactose intolerant is 21%.",Does eating citrus negatively affect lactose intolerance through vitmain C?,yes,no,FALSE
230,"For people who do not listen to jazz, the probability of healthy heart is 64%. For people who listen to jazz, the probability of healthy heart is 85%.","For people who listen to jazz, would it be more likely to see healthy heart if the person did not listen to jazz?",no,no,TRUE
775,"For people with nonsmoking genes, the probability of brown eyes is 41%. For people with smoking genes, the probability of brown eyes is 52%.",Will smoking gene decrease the chance of brown eyes?,no,no,TRUE
556,The overall probability of smoking is 17%. The probability of nonsmoking and curly hair is 48%. The probability of smoking and curly hair is 6%.,Is the chance of curly hair larger when observing smoking?,no,no,TRUE
292,"For people who do not speak english, the probability of high salary is 45%. For people who speak english, the probability of high salary is 56%.",Will speaking english increase the chance of high salary?,yes,yes,TRUE
760,"For people with nonsmoking genes, the probability of brown eyes is 27%. For people with smoking genes, the probability of brown eyes is 39%.",Will smoking gene increase the chance of brown eyes?,yes,yes,TRUE
589,"For patients not consuming citrus, the probability of being lactose intolerant is 45%. For patients consuming citrus, the probability of being lactose intolerant is 21%.",Will citrus intake decrease the chance of being lactose intolerant?,yes,yes,TRUE
551,"For nonsmokers and are lazy, the probability of curly hair is 41%. For nonsmokers and are hard-working, the probability of curly hair is 81%. For smokers and are lazy, the probability of curly hair is 26%. For smokers and are hard-working, the probability of curly hair is 84%. For nonsmokers, the probability of being hard-working is 42%. For smokers, the probability of being hard-working is 17%.",Does smoking negatively affect curly hair through effort?,yes,no,FALSE
375,"The overall probability of encouragement is 7%. For students who are not encouraged, the probability of freckles is 28%. For students who are encouraged, the probability of freckles is 74%.",Is freckles less likely than no freckles overall?,yes,no,FALSE
225,The overall probability of drinking coffee is 97%. The probability of not drinking coffee and smallpox survival is 1%. The probability of drinking coffee and smallpox survival is 46%.,Is the chance of smallpox survival smaller when observing drinking coffee?,no,no,TRUE
292,"For people who do not speak english, the probability of high salary is 45%. For people who speak english, the probability of high salary is 56%.",Will speaking english increase the chance of high salary?,yes,yes,TRUE
824,The overall probability of smoking mother is 61%. The probability of nonsmoking mother and being lactose intolerant is 18%. The probability of smoking mother and being lactose intolerant is 9%.,Is the chance of being lactose intolerant larger when observing smoking mother?,no,no,TRUE
449,Method 1: We look directly at how gender correlates with foot size in general. Method 2: We look at this correlation case by case according to occupation.,"To understand how gender affects foot size, is it more correct to use the Method 1 than Method 2?",yes,no,FALSE
288,The overall probability of taking of all assigned drugs is 53%. The probability of not taking of any assigned drugs and large feet is 27%. The probability of taking of all assigned drugs and large feet is 24%.,Is the chance of large feet larger when observing taking of all assigned drugs?,no,yes,FALSE
752,"For people who have not visited England, the probability of high tar deposit is 65%. For people who have visited England, the probability of high tar deposit is 93%. For people who have not visited England and with no tar deposit, the probability of lung cancer is 23%. For people who have not visited England and with high tar deposit, the probability of lung cancer is 63%. For people who have visited England and with no tar deposit, the probability of lung cancer is 25%. For people who have visited England and with high tar deposit, the probability of lung cancer is 60%. The overall probability of having visited England is 20%.",Does having visited England positively affect lung cancer through tar deposit?,yes,yes,TRUE
728,"For infants with nonsmoking mothers and low infant birth weight, the probability of thick lips is 49%. For infants with nonsmoking mothers and normal infant birth weight, the probability of thick lips is 22%. For infants with smoking mothers and low infant birth weight, the probability of thick lips is 75%. For infants with smoking mothers and normal infant birth weight, the probability of thick lips is 51%. For infants with nonsmoking mothers and with poor health, the probability of normal infant birth weight is 83%. For infants with nonsmoking mothers and with good health, the probability of normal infant birth weight is 74%. For infants with smoking mothers and with poor health, the probability of normal infant birth weight is 42%. For infants with smoking mothers and with good health, the probability of normal infant birth weight is 40%. The overall probability of good health is 42%.","If we disregard the mediation effect through infant's birth weight, would maternal smoking status positively affect lip thickness?",yes,yes,TRUE
,,,,,22
