ids,given_info,question,ground truth,answer,match
401,"For individuals who are not male and applicants to a non-competitive department, the probability of admission acceptance is 67%. For individuals who are not male and applicants to a competitive department, the probability of admission acceptance is 27%. For individuals who are male and applicants to a non-competitive department, the probability of admission acceptance is 76%. For individuals who are male and applicants to a competitive department, the probability of admission acceptance is 37%. For individuals who are not male, the probability of competitive department is 35%. For individuals who are male, the probability of competitive department is 27%.","If we disregard the mediation effect through department competitiveness, would gender negatively affect admission status?",no,yes,FALSE
406,Method 1: We look at how gender correlates with admission status case by case according to department competitiveness. Method 2: We look directly at how gender correlates with admission status in general.,"To understand how gender affects admission status, is it more correct to use the Method 1 than Method 2?",no,yes,FALSE
124,Method 1: We look at how the camper correlates with the forest case by case according to the smoker. Method 2: We look directly at how the camper correlates with the forest in general.,"To understand how the camper affects the forest, is it more correct to use the Method 1 than Method 2?",no,yes,FALSE
48,"For CEOs who fire employees and managers who don't sign termination letters, the probability of employee being fired is 26%. For CEOs who fire employees and managers who sign termination letters, the probability of employee being fired is 64%. For CEOs who fire employees and managers who don't sign termination letters, the probability of employee being fired is 39%. For CEOs who fire employees and managers who sign termination letters, the probability of employee being fired is 78%. The overall probability of CEO's decision to fire the employee is 13%.",Will manager signing the termination letter increase the chance of employee being fired?,yes,yes,TRUE
808,The overall probability of smoking is 3%. The probability of nonsmoking and lung cancer is 22%. The probability of smoking and lung cancer is 1%.,Is the chance of lung cancer larger when observing smoking?,yes,no,FALSE
493,"The overall probability of kindness is 45%. For people with mean personalities and single people, the probability of attractive appearance is 4%. For people with mean personalities and in a relationship, the probability of attractive appearance is 13%. For people with kind personalities and single people, the probability of attractive appearance is 3%. For people with kind personalities and in a relationship, the probability of attractive appearance is 26%.","If we look at people in a relationship, does the chance of attractive appearance decrease when kindness?",no,no,TRUE
745,The overall probability of smoking is 52%. The probability of nonsmoking and lung cancer is 31%. The probability of smoking and lung cancer is 37%.,Is the chance of lung cancer smaller when observing smoking?,no,no,TRUE
381,"For individuals who are not male, the probability of admission acceptance is 84%. For individuals who are male, the probability of admission acceptance is 48%.",Will male gender decrease the chance of admission acceptance?,yes,yes,TRUE
484,"The overall probability of kindness is 45%. For people with mean personalities, the probability of attractive appearance is 7%. For people with kind personalities, the probability of attractive appearance is 7%.",Is attractive appearance more likely than unattractive appearance overall?,no,no,TRUE
606,"The overall probability of citrus intake is 92%. For patients not consuming citrus, the probability of scurvy is 69%. For patients consuming citrus, the probability of scurvy is 42%.",Is scurvy more likely than no scurvy overall?,no,yes,FALSE
148,"For days when Alice wakes up on time, the probability of arriving to school on time is 68%. For days when Alice wakes up late, the probability of arriving to school on time is 31%.","For days when Alice wakes up late, would it be more likely to see arriving to school on time if Alice had gotten up on time?",yes,yes,TRUE
488,Method 1: We look at how personality correlates with appearance case by case according to relationship status. Method 2: We look directly at how personality correlates with appearance in general.,"To understand how personality affects appearance, is it more correct to use the Method 1 than Method 2?",no,no,TRUE
318,"The overall probability of college degree or higher is 52%. For people without a college degree, the probability of high salary is 15%. For people with a college degree or higher, the probability of high salary is 61%.",Is high salary more likely than low salary overall?,no,no,TRUE
412,"For individuals who are not male and applicants to a non-competitive department, the probability of admission acceptance is 63%. For individuals who are not male and applicants to a competitive department, the probability of admission acceptance is 14%. For individuals who are male and applicants to a non-competitive department, the probability of admission acceptance is 62%. For individuals who are male and applicants to a competitive department, the probability of admission acceptance is 27%. For individuals who are not male and out-of-state residents, the probability of competitive department is 53%. For individuals who are not male and in-state residents, the probability of competitive department is 12%. For individuals who are male and out-of-state residents, the probability of competitive department is 92%. For individuals who are male and in-state residents, the probability of competitive department is 65%. The overall probability of in-state residency is 82%.",Does gender positively affect admission status through department competitiveness?,no,yes,FALSE
670,"For patients who have small kidney stones and not receiving treatment, the probability of recovery is 6%. For patients who have small kidney stones and receiving treatment, the probability of recovery is 38%. For patients who have large kidney stones and not receiving treatment, the probability of recovery is 65%. For patients who have large kidney stones and receiving treatment, the probability of recovery is 97%. The overall probability of large kidney stone is 41%.","For patients receiving treatment, would it be more likely to see recovery if the patient had received no treatment?",no,no,TRUE
,,,,,17
