ids,given_info,question,ground truth,answer,MATCH
665,The overall probability of high hospital bill is 46%. The probability of low hospital bill and recovery is 11%. The probability of high hospital bill and recovery is 29%.,Is the chance of recovery smaller when observing high hospital bill?,no,yes,FALSE
840,The overall probability of clean water is 13%. The probability of polluted water and cholera contraction is 31%. The probability of clean water and cholera contraction is 7%.,Is the chance of cholera contraction larger when observing clean water?,yes,no,FALSE
527,"The overall probability of intelligent parents is 20%. For children with unintelligent parents, the probability of intelligent child is 63%. For children with intelligent parents, the probability of intelligent child is 45%.",Is intelligent child less likely than unintelligent child overall?,no,yes,FALSE
782,"The overall probability of smoking gene is 86%. For people with nonsmoking genes, the probability of lung cancer is 59%. For people with smoking genes, the probability of lung cancer is 73%.",Is lung cancer more likely than absence of lung cancer overall?,yes,yes,TRUE
499,Method 1: We look directly at how personality correlates with appearance in general. Method 2: We look at this correlation case by case according to relationship status.,"To understand how personality affects appearance, is it more correct to use the Method 1 than Method 2?",yes,no,FALSE
277,"For patients not assigned the drug treatment, the probability of low cholesterol is 67%. For patients assigned the drug treatment, the probability of low cholesterol is 45%. For patients not assigned the drug treatment, the probability of taking of all assigned drugs is 93%. For patients assigned the drug treatment, the probability of taking of all assigned drugs is 41%.",Will taking of all assigned drugs decrease the chance of low cholesterol?,no,yes,FALSE
656,Method 1: We look directly at how hospital costs correlates with recovery in general. Method 2: We look at this correlation case by case according to age.,"To understand how hospital costs affects recovery, is it more correct to use the Method 1 than Method 2?",no,no,TRUE
498,Method 1: We look at how personality correlates with appearance case by case according to relationship status. Method 2: We look directly at how personality correlates with appearance in general.,"To understand how personality affects appearance, is it more correct to use the Method 1 than Method 2?",no,no,TRUE
369,"For students who are not encouraged, the probability of high exam score is 58%. For students who are encouraged, the probability of high exam score is 52%.","For students who are encouraged, would it be less likely to see high exam score if the student had received no encouragement?",no,no,TRUE
522,"For children with unintelligent parents and with low parental social status, the probability of intelligent child is 87%. For children with unintelligent parents and with high parental social status, the probability of intelligent child is 42%. For children with intelligent parents and with low parental social status, the probability of intelligent child is 47%. For children with intelligent parents and with high parental social status, the probability of intelligent child is 18%. For children with unintelligent parents and confounder inactive, the probability of high parental social status is 56%. For children with unintelligent parents and confounder active, the probability of high parental social status is 52%. For children with intelligent parents and confounder inactive, the probability of high parental social status is 7%. For children with intelligent parents and confounder active, the probability of high parental social status is 6%. The overall probability of confounder active is 45%.",Does parents' intelligence positively affect child's intelligence through parents' social status?,yes,no,FALSE
714,"For infants with nonsmoking mothers and low infant birth weight, the probability of high infant mortality is 44%. For infants with nonsmoking mothers and normal infant birth weight, the probability of high infant mortality is 71%. For infants with smoking mothers and low infant birth weight, the probability of high infant mortality is 18%. For infants with smoking mothers and normal infant birth weight, the probability of high infant mortality is 44%. For infants with nonsmoking mothers and with poor health, the probability of normal infant birth weight is 52%. For infants with nonsmoking mothers and with good health, the probability of normal infant birth weight is 29%. For infants with smoking mothers and with poor health, the probability of normal infant birth weight is 84%. For infants with smoking mothers and with good health, the probability of normal infant birth weight is 62%. The overall probability of good health is 18%.","If we disregard the mediation effect through infant's birth weight, would maternal smoking status positively affect infant mortality?",no,no,TRUE
257,"The overall probability of attractive appearance is 83%. For people considered unattractive, the probability of talent is 88%. For people considered attractive, the probability of talent is 88%.",Is talent less likely than lack of talent overall?,no,no,TRUE
222,"The overall probability of vaccination is 9%. For unvaccinated individuals, the probability of smallpox survival is 62%. For vaccinated individuals, the probability of smallpox survival is 61%.",Is smallpox survival more likely than smallpox death overall?,yes,no,FALSE
435,Method 1: We look directly at how gender correlates with admission status in general. Method 2: We look at this correlation case by case according to department competitiveness.,"To understand how gender affects admission status, is it more correct to use the Method 1 than Method 2?",yes,no,FALSE
435,Method 1: We look directly at how gender correlates with admission status in general. Method 2: We look at this correlation case by case according to department competitiveness.,"To understand how gender affects admission status, is it more correct to use the Method 1 than Method 2?",yes,no,FALSE
725,"For infants with nonsmoking mothers, the probability of high infant mortality is 70%. For infants with smoking mothers, the probability of high infant mortality is 42%.","For infants with smoking mothers, would it be less likely to see high infant mortality if the infant had a nonsmoking mother?",no,yes,FALSE
122,The overall probability of the camper lighting a match is 98%. The probability of the camper not lighting a match and the forest on fire is 2%. The probability of the camper lighting a match and the forest on fire is 55%.,Is the chance of the forest on fire larger when observing the camper lighting a match?,no,yes,FALSE
251,"The overall probability of taking medication is 18%. For people not taking any medication, the probability of healthy heart is 68%. For people taking medication, the probability of healthy heart is 52%.",Is healthy heart less likely than heart problems overall?,no,yes,FALSE
838,"The overall probability of clean water is 13%. For people with only polluted water, the probability of cholera contraction is 36%. For people with access to clean water, the probability of cholera contraction is 56%.",Is cholera contraction more likely than cholera prevention overall?,no,yes,FALSE
74,"The overall probability of the captain's order to execute the prisoner is 12%. For captains who release prisoners, the probability of the prisoner's death is 21%. For captains who execute prisoners, the probability of the prisoner's death is 64%.",Is the prisoner's death more likely than the prisoner being alive overall?,no,yes,FALSE
,,,,,10
