question_id,desc_id,given_info,question,answer,meta,reasoning
13,candle-fork-det-counterfactual-model150-spec0-q4,We know that blowing out the candle or candle with wax causes dark room. We observed the candle has wax.,Would the room is dark if not blowing out the candle instead of blowing out the candle?,yes,"{'story_id': 'candle', 'graph_id': 'fork', 'given_info': {'V2': 1}, 'formal_form': 'Y_{X=0} = 1 | V2=1', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 1, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 150}","{'step0': 'Let V2 = the candle; X = the man in the room; Y = room.', 'step1': 'X->Y,V2->Y', 'step2': 'Y_{X=0} = 1 | V2=1', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = 1\nY = X or V2', 'step5': 'Y = 1 = 0 or 1', 'end': '1'}"
14,candle-fork-det-counterfactual-model150-spec0-q5,We know that blowing out the candle or candle with wax causes dark room. We observed the candle has wax.,Would the room is bright if not blowing out the candle instead of blowing out the candle?,no,"{'story_id': 'candle', 'graph_id': 'fork', 'given_info': {'V2': 1}, 'formal_form': 'Y_{X=0} = 0 | V2=1', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 0, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 150}","{'step0': 'Let V2 = the candle; X = the man in the room; Y = room.', 'step1': 'X->Y,V2->Y', 'step2': 'Y_{X=0} = 0 | V2=1', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = 1\nY = X or V2', 'step5': 'Y = 1 = 0 or 1', 'end': '0'}"
15,candle-fork-det-counterfactual-model150-spec0-q6,We know that blowing out the candle or candle with wax causes dark room. We observed the candle has wax.,Would the room is dark if blowing out the candle instead of not blowing out the candle?,yes,"{'story_id': 'candle', 'graph_id': 'fork', 'given_info': {'V2': 1}, 'formal_form': 'Y_{X=1} = 1 | V2=1', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 1, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 150}","{'step0': 'Let V2 = the candle; X = the man in the room; Y = room.', 'step1': 'X->Y,V2->Y', 'step2': 'Y_{X=1} = 1 | V2=1', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = 1\nY = X or V2', 'step5': 'Y = 1 = 1 or 1', 'end': '1'}"
16,candle-fork-det-counterfactual-model150-spec0-q7,We know that blowing out the candle or candle with wax causes dark room. We observed the candle has wax.,Would the room is bright if blowing out the candle instead of not blowing out the candle?,no,"{'story_id': 'candle', 'graph_id': 'fork', 'given_info': {'V2': 1}, 'formal_form': 'Y_{X=1} = 0 | V2=1', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 0, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 150}","{'step0': 'Let V2 = the candle; X = the man in the room; Y = room.', 'step1': 'X->Y,V2->Y', 'step2': 'Y_{X=1} = 0 | V2=1', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = 1\nY = X or V2', 'step5': 'Y = 1 = 1 or 1', 'end': '0'}"
17,candle-fork-det-counterfactual-model151-spec1-q0,We know that blowing out the candle and candle with wax causes dark room. We observed the candle is out of wax.,Would the room is dark if not blowing out the candle instead of blowing out the candle?,no,"{'story_id': 'candle', 'graph_id': 'fork', 'given_info': {'V2': 0}, 'formal_form': 'Y_{X=0} = 1 | V2=0', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 1, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 151}","{'step0': 'Let V2 = the candle; X = the man in the room; Y = room.', 'step1': 'X->Y,V2->Y', 'step2': 'Y_{X=0} = 1 | V2=0', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = 0\nY = X and V2', 'step5': 'Y = 0 = 0 and 0', 'end': '0'}"
18,candle-fork-det-counterfactual-model151-spec1-q1,We know that blowing out the candle and candle with wax causes dark room. We observed the candle is out of wax.,Would the room is bright if not blowing out the candle instead of blowing out the candle?,yes,"{'story_id': 'candle', 'graph_id': 'fork', 'given_info': {'V2': 0}, 'formal_form': 'Y_{X=0} = 0 | V2=0', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 0, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 151}","{'step0': 'Let V2 = the candle; X = the man in the room; Y = room.', 'step1': 'X->Y,V2->Y', 'step2': 'Y_{X=0} = 0 | V2=0', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = 0\nY = X and V2', 'step5': 'Y = 0 = 0 and 0', 'end': '1'}"
19,candle-fork-det-counterfactual-model151-spec1-q2,We know that blowing out the candle and candle with wax causes dark room. We observed the candle is out of wax.,Would the room is dark if blowing out the candle instead of not blowing out the candle?,no,"{'story_id': 'candle', 'graph_id': 'fork', 'given_info': {'V2': 0}, 'formal_form': 'Y_{X=1} = 1 | V2=0', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 1, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 151}","{'step0': 'Let V2 = the candle; X = the man in the room; Y = room.', 'step1': 'X->Y,V2->Y', 'step2': 'Y_{X=1} = 1 | V2=0', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = 0\nY = X and V2', 'step5': 'Y = 0 = 1 and 0', 'end': '0'}"
20,candle-fork-det-counterfactual-model151-spec1-q3,We know that blowing out the candle and candle with wax causes dark room. We observed the candle is out of wax.,Would the room is bright if blowing out the candle instead of not blowing out the candle?,yes,"{'story_id': 'candle', 'graph_id': 'fork', 'given_info': {'V2': 0}, 'formal_form': 'Y_{X=1} = 0 | V2=0', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 0, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 151}","{'step0': 'Let V2 = the candle; X = the man in the room; Y = room.', 'step1': 'X->Y,V2->Y', 'step2': 'Y_{X=1} = 0 | V2=0', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = 0\nY = X and V2', 'step5': 'Y = 0 = 1 and 0', 'end': '1'}"
21,candle-fork-det-counterfactual-model151-spec1-q4,We know that blowing out the candle and candle with wax causes dark room. We observed the candle has wax.,Would the room is dark if not blowing out the candle instead of blowing out the candle?,no,"{'story_id': 'candle', 'graph_id': 'fork', 'given_info': {'V2': 1}, 'formal_form': 'Y_{X=0} = 1 | V2=1', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 1, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 151}","{'step0': 'Let V2 = the candle; X = the man in the room; Y = room.', 'step1': 'X->Y,V2->Y', 'step2': 'Y_{X=0} = 1 | V2=1', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = 1\nY = X and V2', 'step5': 'Y = 0 = 0 and 1', 'end': '0'}"
22,candle-fork-det-counterfactual-model151-spec1-q5,We know that blowing out the candle and candle with wax causes dark room. We observed the candle has wax.,Would the room is bright if not blowing out the candle instead of blowing out the candle?,yes,"{'story_id': 'candle', 'graph_id': 'fork', 'given_info': {'V2': 1}, 'formal_form': 'Y_{X=0} = 0 | V2=1', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 0, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 151}","{'step0': 'Let V2 = the candle; X = the man in the room; Y = room.', 'step1': 'X->Y,V2->Y', 'step2': 'Y_{X=0} = 0 | V2=1', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = 1\nY = X and V2', 'step5': 'Y = 0 = 0 and 1', 'end': '1'}"
23,candle-fork-det-counterfactual-model151-spec1-q6,We know that blowing out the candle and candle with wax causes dark room. We observed the candle has wax.,Would the room is dark if blowing out the candle instead of not blowing out the candle?,yes,"{'story_id': 'candle', 'graph_id': 'fork', 'given_info': {'V2': 1}, 'formal_form': 'Y_{X=1} = 1 | V2=1', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 1, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 151}","{'step0': 'Let V2 = the candle; X = the man in the room; Y = room.', 'step1': 'X->Y,V2->Y', 'step2': 'Y_{X=1} = 1 | V2=1', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = 1\nY = X and V2', 'step5': 'Y = 1 = 1 and 1', 'end': '1'}"
24,candle-fork-det-counterfactual-model151-spec1-q7,We know that blowing out the candle and candle with wax causes dark room. We observed the candle has wax.,Would the room is bright if blowing out the candle instead of not blowing out the candle?,no,"{'story_id': 'candle', 'graph_id': 'fork', 'given_info': {'V2': 1}, 'formal_form': 'Y_{X=1} = 0 | V2=1', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 0, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 151}","{'step0': 'Let V2 = the candle; X = the man in the room; Y = room.', 'step1': 'X->Y,V2->Y', 'step2': 'Y_{X=1} = 0 | V2=1', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = 1\nY = X and V2', 'step5': 'Y = 1 = 1 and 1', 'end': '0'}"
25,firing_employee-diamondcut-det-counterfactual-model152-spec0-q0,We know that CEO's decision to fire the employee causes manager not signing the termination letter and director signing the termination letter. manager signing the termination letter or director signing the termination letter causes employee being fired. We observed the CEO decides to retain the employee.,Would the employee is fired if manager not signing the termination letter instead of manager signing the termination letter?,yes,"{'story_id': 'firing_employee', 'graph_id': 'diamondcut', 'given_info': {'V1': 0}, 'formal_form': 'Y_{X=0} = 1 | V1=0', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 1, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 152}","{'step0': 'Let V1 = CEO; V3 = director; X = manager; Y = employee.', 'step1': 'V1->V3,V1->X,X->Y,V3->Y', 'step2': 'Y_{X=0} = 1 | V1=0', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V1 = 0\nX = V1\nV3 = not X\nY = X or V3', 'step5': 'Y = 1 = 0 or 1', 'end': '1'}"
26,firing_employee-diamondcut-det-counterfactual-model152-spec0-q1,We know that CEO's decision to fire the employee causes manager not signing the termination letter and director signing the termination letter. manager signing the termination letter or director signing the termination letter causes employee being fired. We observed the CEO decides to retain the employee.,Would the employee is not fired if manager not signing the termination letter instead of manager signing the termination letter?,no,"{'story_id': 'firing_employee', 'graph_id': 'diamondcut', 'given_info': {'V1': 0}, 'formal_form': 'Y_{X=0} = 0 | V1=0', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 0, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 152}","{'step0': 'Let V1 = CEO; V3 = director; X = manager; Y = employee.', 'step1': 'V1->V3,V1->X,X->Y,V3->Y', 'step2': 'Y_{X=0} = 0 | V1=0', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V1 = 0\nX = V1\nV3 = not X\nY = X or V3', 'step5': 'Y = 1 = 0 or 1', 'end': '0'}"
27,firing_employee-diamondcut-det-counterfactual-model152-spec0-q2,We know that CEO's decision to fire the employee causes manager not signing the termination letter and director signing the termination letter. manager signing the termination letter or director signing the termination letter causes employee being fired. We observed the CEO decides to retain the employee.,Would the employee is fired if manager signing the termination letter instead of manager not signing the termination letter?,yes,"{'story_id': 'firing_employee', 'graph_id': 'diamondcut', 'given_info': {'V1': 0}, 'formal_form': 'Y_{X=1} = 1 | V1=0', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 1, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 152}","{'step0': 'Let V1 = CEO; V3 = director; X = manager; Y = employee.', 'step1': 'V1->V3,V1->X,X->Y,V3->Y', 'step2': 'Y_{X=1} = 1 | V1=0', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V1 = 0\nX = V1\nV3 = not X\nY = X or V3', 'step5': 'Y = 1 = 1 or 1', 'end': '1'}"
28,firing_employee-diamondcut-det-counterfactual-model152-spec0-q3,We know that CEO's decision to fire the employee causes manager not signing the termination letter and director signing the termination letter. manager signing the termination letter or director signing the termination letter causes employee being fired. We observed the CEO decides to retain the employee.,Would the employee is not fired if manager signing the termination letter instead of manager not signing the termination letter?,no,"{'story_id': 'firing_employee', 'graph_id': 'diamondcut', 'given_info': {'V1': 0}, 'formal_form': 'Y_{X=1} = 0 | V1=0', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 0, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 152}","{'step0': 'Let V1 = CEO; V3 = director; X = manager; Y = employee.', 'step1': 'V1->V3,V1->X,X->Y,V3->Y', 'step2': 'Y_{X=1} = 0 | V1=0', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V1 = 0\nX = V1\nV3 = not X\nY = X or V3', 'step5': 'Y = 1 = 1 or 1', 'end': '0'}"
29,firing_employee-diamondcut-det-counterfactual-model152-spec0-q4,We know that CEO's decision to fire the employee causes manager not signing the termination letter and director signing the termination letter. manager signing the termination letter or director signing the termination letter causes employee being fired. We observed the CEO decides to fire the employee.,Would the employee is fired if manager not signing the termination letter instead of manager signing the termination letter?,no,"{'story_id': 'firing_employee', 'graph_id': 'diamondcut', 'given_info': {'V1': 1}, 'formal_form': 'Y_{X=0} = 1 | V1=1', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 1, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 152}","{'step0': 'Let V1 = CEO; V3 = director; X = manager; Y = employee.', 'step1': 'V1->V3,V1->X,X->Y,V3->Y', 'step2': 'Y_{X=0} = 1 | V1=1', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V1 = 1\nX = V1\nV3 = not X\nY = X or V3', 'step5': 'Y = 0 = 0 or 0', 'end': '0'}"
30,firing_employee-diamondcut-det-counterfactual-model152-spec0-q5,We know that CEO's decision to fire the employee causes manager not signing the termination letter and director signing the termination letter. manager signing the termination letter or director signing the termination letter causes employee being fired. We observed the CEO decides to fire the employee.,Would the employee is not fired if manager not signing the termination letter instead of manager signing the termination letter?,yes,"{'story_id': 'firing_employee', 'graph_id': 'diamondcut', 'given_info': {'V1': 1}, 'formal_form': 'Y_{X=0} = 0 | V1=1', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 0, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 152}","{'step0': 'Let V1 = CEO; V3 = director; X = manager; Y = employee.', 'step1': 'V1->V3,V1->X,X->Y,V3->Y', 'step2': 'Y_{X=0} = 0 | V1=1', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V1 = 1\nX = V1\nV3 = not X\nY = X or V3', 'step5': 'Y = 0 = 0 or 0', 'end': '1'}"
31,firing_employee-diamondcut-det-counterfactual-model152-spec0-q6,We know that CEO's decision to fire the employee causes manager not signing the termination letter and director signing the termination letter. manager signing the termination letter or director signing the termination letter causes employee being fired. We observed the CEO decides to fire the employee.,Would the employee is fired if manager signing the termination letter instead of manager not signing the termination letter?,yes,"{'story_id': 'firing_employee', 'graph_id': 'diamondcut', 'given_info': {'V1': 1}, 'formal_form': 'Y_{X=1} = 1 | V1=1', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 1, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 152}","{'step0': 'Let V1 = CEO; V3 = director; X = manager; Y = employee.', 'step1': 'V1->V3,V1->X,X->Y,V3->Y', 'step2': 'Y_{X=1} = 1 | V1=1', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V1 = 1\nX = V1\nV3 = not X\nY = X or V3', 'step5': 'Y = 1 = 1 or 0', 'end': '1'}"
32,firing_employee-diamondcut-det-counterfactual-model152-spec0-q7,We know that CEO's decision to fire the employee causes manager not signing the termination letter and director signing the termination letter. manager signing the termination letter or director signing the termination letter causes employee being fired. We observed the CEO decides to fire the employee.,Would the employee is not fired if manager signing the termination letter instead of manager not signing the termination letter?,no,"{'story_id': 'firing_employee', 'graph_id': 'diamondcut', 'given_info': {'V1': 1}, 'formal_form': 'Y_{X=1} = 0 | V1=1', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 0, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 152}","{'step0': 'Let V1 = CEO; V3 = director; X = manager; Y = employee.', 'step1': 'V1->V3,V1->X,X->Y,V3->Y', 'step2': 'Y_{X=1} = 0 | V1=1', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V1 = 1\nX = V1\nV3 = not X\nY = X or V3', 'step5': 'Y = 1 = 1 or 0', 'end': '0'}"
33,firing_employee-diamondcut-det-counterfactual-model153-spec1-q0,We know that CEO's decision to fire the employee causes manager signing the termination letter and director signing the termination letter. manager signing the termination letter and director signing the termination letter causes employee being fired. We observed the CEO decides to retain the employee.,Would the employee is fired if manager not signing the termination letter instead of manager signing the termination letter?,no,"{'story_id': 'firing_employee', 'graph_id': 'diamondcut', 'given_info': {'V1': 0}, 'formal_form': 'Y_{X=0} = 1 | V1=0', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 1, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 153}","{'step0': 'Let V1 = CEO; V3 = director; X = manager; Y = employee.', 'step1': 'V1->V3,V1->X,X->Y,V3->Y', 'step2': 'Y_{X=0} = 1 | V1=0', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V1 = 0\nX = V1\nV3 = X\nY = X and V3', 'step5': 'Y = 0 = 0 and 0', 'end': '0'}"
